pairs	order	sent
0	x	die Schriftsteller sind alt
0	y	die Schriftsteller ist alt
1	x	die Schriftsteller sind jung
1	y	die Schriftsteller ist jung
2	x	die Schriftsteller sind klein
2	y	die Schriftsteller ist klein
3	x	die Schriftsteller sind groß
3	y	die Schriftsteller ist groß
4	x	die Schriftsteller schwimmen
4	y	die Schriftsteller schwimmt
5	x	die Schriftsteller sprechen
5	y	die Schriftsteller spricht
6	x	die Schriftsteller lachen
6	y	die Schriftsteller lacht
7	x	die Direktoren sind alt
7	y	die Direktoren ist alt
8	x	die Direktoren sind jung
8	y	die Direktoren ist jung
9	x	die Direktoren sind klein
9	y	die Direktoren ist klein
10	x	die Direktoren sind groß
10	y	die Direktoren ist groß
11	x	die Direktoren schwimmen
11	y	die Direktoren schwimmt
12	x	die Direktoren sprechen
12	y	die Direktoren spricht
13	x	die Direktoren lachen
13	y	die Direktoren lacht
14	x	die Bauern sind alt
14	y	die Bauern ist alt
15	x	die Bauern sind jung
15	y	die Bauern ist jung
16	x	die Bauern sind klein
16	y	die Bauern ist klein
17	x	die Bauern sind groß
17	y	die Bauern ist groß
18	x	die Bauern schwimmen
18	y	die Bauern schwimmt
19	x	die Bauern sprechen
19	y	die Bauern spricht
20	x	die Bauern lachen
20	y	die Bauern lacht
21	x	die Chirurgen sind alt
21	y	die Chirurgen ist alt
22	x	die Chirurgen sind jung
22	y	die Chirurgen ist jung
23	x	die Chirurgen sind klein
23	y	die Chirurgen ist klein
24	x	die Chirurgen sind groß
24	y	die Chirurgen ist groß
25	x	die Chirurgen schwimmen
25	y	die Chirurgen schwimmt
26	x	die Chirurgen sprechen
26	y	die Chirurgen spricht
27	x	die Chirurgen lachen
27	y	die Chirurgen lacht
28	x	die Senatoren sind alt
28	y	die Senatoren ist alt
29	x	die Senatoren sind jung
29	y	die Senatoren ist jung
30	x	die Senatoren sind klein
30	y	die Senatoren ist klein
31	x	die Senatoren sind groß
31	y	die Senatoren ist groß
32	x	die Senatoren schwimmen
32	y	die Senatoren schwimmt
33	x	die Senatoren sprechen
33	y	die Senatoren spricht
34	x	die Senatoren lachen
34	y	die Senatoren lacht
35	x	die Lehrer sind alt
35	y	die Lehrer ist alt
36	x	die Lehrer sind jung
36	y	die Lehrer ist jung
37	x	die Lehrer sind klein
37	y	die Lehrer ist klein
38	x	die Lehrer sind groß
38	y	die Lehrer ist groß
39	x	die Lehrer schwimmen
39	y	die Lehrer schwimmt
40	x	die Lehrer sprechen
40	y	die Lehrer spricht
41	x	die Lehrer lachen
41	y	die Lehrer lacht
42	x	die Kunden sind alt
42	y	die Kunden ist alt
43	x	die Kunden sind jung
43	y	die Kunden ist jung
44	x	die Kunden sind klein
44	y	die Kunden ist klein
45	x	die Kunden sind groß
45	y	die Kunden ist groß
46	x	die Kunden schwimmen
46	y	die Kunden schwimmt
47	x	die Kunden sprechen
47	y	die Kunden spricht
48	x	die Kunden lachen
48	y	die Kunden lacht
49	x	die Polizisten sind alt
49	y	die Polizisten ist alt
50	x	die Polizisten sind jung
50	y	die Polizisten ist jung
51	x	die Polizisten sind klein
51	y	die Polizisten ist klein
52	x	die Polizisten sind groß
52	y	die Polizisten ist groß
53	x	die Polizisten schwimmen
53	y	die Polizisten schwimmt
54	x	die Polizisten sprechen
54	y	die Polizisten spricht
55	x	die Polizisten lachen
55	y	die Polizisten lacht
56	x	die Piloten sind alt
56	y	die Piloten ist alt
57	x	die Piloten sind jung
57	y	die Piloten ist jung
58	x	die Piloten sind klein
58	y	die Piloten ist klein
59	x	die Piloten sind groß
59	y	die Piloten ist groß
60	x	die Piloten schwimmen
60	y	die Piloten schwimmt
61	x	die Piloten sprechen
61	y	die Piloten spricht
62	x	die Piloten lachen
62	y	die Piloten lacht
63	x	die Berater sind alt
63	y	die Berater ist alt
64	x	die Berater sind jung
64	y	die Berater ist jung
65	x	die Berater sind klein
65	y	die Berater ist klein
66	x	die Berater sind groß
66	y	die Berater ist groß
67	x	die Berater schwimmen
67	y	die Berater schwimmt
68	x	die Berater sprechen
68	y	die Berater spricht
69	x	die Berater lachen
69	y	die Berater lacht
70	x	der Schriftsteller ist alt
70	y	der Schriftsteller sind alt
71	x	der Schriftsteller ist jung
71	y	der Schriftsteller sind jung
72	x	der Schriftsteller ist klein
72	y	der Schriftsteller sind klein
73	x	der Schriftsteller ist groß
73	y	der Schriftsteller sind groß
74	x	der Schriftsteller schwimmt
74	y	der Schriftsteller schwimmen
75	x	der Schriftsteller spricht
75	y	der Schriftsteller sprechen
76	x	der Schriftsteller lacht
76	y	der Schriftsteller lachen
77	x	der Direktor ist alt
77	y	der Direktor sind alt
78	x	der Direktor ist jung
78	y	der Direktor sind jung
79	x	der Direktor ist klein
79	y	der Direktor sind klein
80	x	der Direktor ist groß
80	y	der Direktor sind groß
81	x	der Direktor schwimmt
81	y	der Direktor schwimmen
82	x	der Direktor spricht
82	y	der Direktor sprechen
83	x	der Direktor lacht
83	y	der Direktor lachen
84	x	der Bauer ist alt
84	y	der Bauer sind alt
85	x	der Bauer ist jung
85	y	der Bauer sind jung
86	x	der Bauer ist klein
86	y	der Bauer sind klein
87	x	der Bauer ist groß
87	y	der Bauer sind groß
88	x	der Bauer schwimmt
88	y	der Bauer schwimmen
89	x	der Bauer spricht
89	y	der Bauer sprechen
90	x	der Bauer lacht
90	y	der Bauer lachen
91	x	der Chirurg ist alt
91	y	der Chirurg sind alt
92	x	der Chirurg ist jung
92	y	der Chirurg sind jung
93	x	der Chirurg ist klein
93	y	der Chirurg sind klein
94	x	der Chirurg ist groß
94	y	der Chirurg sind groß
95	x	der Chirurg schwimmt
95	y	der Chirurg schwimmen
96	x	der Chirurg spricht
96	y	der Chirurg sprechen
97	x	der Chirurg lacht
97	y	der Chirurg lachen
98	x	der Senator ist alt
98	y	der Senator sind alt
99	x	der Senator ist jung
99	y	der Senator sind jung
100	x	der Senator ist klein
100	y	der Senator sind klein
101	x	der Senator ist groß
101	y	der Senator sind groß
102	x	der Senator schwimmt
102	y	der Senator schwimmen
103	x	der Senator spricht
103	y	der Senator sprechen
104	x	der Senator lacht
104	y	der Senator lachen
105	x	der Lehrer ist alt
105	y	der Lehrer sind alt
106	x	der Lehrer ist jung
106	y	der Lehrer sind jung
107	x	der Lehrer ist klein
107	y	der Lehrer sind klein
108	x	der Lehrer ist groß
108	y	der Lehrer sind groß
109	x	der Lehrer schwimmt
109	y	der Lehrer schwimmen
110	x	der Lehrer spricht
110	y	der Lehrer sprechen
111	x	der Lehrer lacht
111	y	der Lehrer lachen
112	x	der Kunde ist alt
112	y	der Kunde sind alt
113	x	der Kunde ist jung
113	y	der Kunde sind jung
114	x	der Kunde ist klein
114	y	der Kunde sind klein
115	x	der Kunde ist groß
115	y	der Kunde sind groß
116	x	der Kunde schwimmt
116	y	der Kunde schwimmen
117	x	der Kunde spricht
117	y	der Kunde sprechen
118	x	der Kunde lacht
118	y	der Kunde lachen
119	x	der Polizist ist alt
119	y	der Polizist sind alt
120	x	der Polizist ist jung
120	y	der Polizist sind jung
121	x	der Polizist ist klein
121	y	der Polizist sind klein
122	x	der Polizist ist groß
122	y	der Polizist sind groß
123	x	der Polizist schwimmt
123	y	der Polizist schwimmen
124	x	der Polizist spricht
124	y	der Polizist sprechen
125	x	der Polizist lacht
125	y	der Polizist lachen
126	x	der Pilot ist alt
126	y	der Pilot sind alt
127	x	der Pilot ist jung
127	y	der Pilot sind jung
128	x	der Pilot ist klein
128	y	der Pilot sind klein
129	x	der Pilot ist groß
129	y	der Pilot sind groß
130	x	der Pilot schwimmt
130	y	der Pilot schwimmen
131	x	der Pilot spricht
131	y	der Pilot sprechen
132	x	der Pilot lacht
132	y	der Pilot lachen
133	x	der Berater ist alt
133	y	der Berater sind alt
134	x	der Berater ist jung
134	y	der Berater sind jung
135	x	der Berater ist klein
135	y	der Berater sind klein
136	x	der Berater ist groß
136	y	der Berater sind groß
137	x	der Berater schwimmt
137	y	der Berater schwimmen
138	x	der Berater spricht
138	y	der Berater sprechen
139	x	der Berater lacht
139	y	der Berater lachen